,SubSystem,StartStn,EndStn,EntTime,EntTimeHHMM,ExTime,ExTimeHHMM,JourneyLength,StartLat,StartLong,EndLat,EndLong,HH,datetime,Wind Speed,Temperature[°C],DewPoint[°C],Rainfall,WeekDay
50,LUL,Goodge Street,Charing Cross,1016,16:56,1024,17:04,8,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-02 16:00:00,11.0,11.11,3.335,0.0,Mon
51,LUL,Goodge Street,Charing Cross,1016,16:56,1024,17:04,8,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-03 16:00:00,15.0,12.22,6.11,0.0,Tue
52,LUL,Goodge Street,Charing Cross,1016,16:56,1024,17:04,8,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-04 16:00:00,12.0,10.555,5.0,0.2,Wed
53,LUL,Goodge Street,Charing Cross,1016,16:56,1024,17:04,8,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-05 16:00:00,13.0,12.22,5.0,0.0,Thu
54,LUL,Goodge Street,Charing Cross,1016,16:56,1024,17:04,8,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-06 16:00:00,10.5,11.665,7.5,0.0,Fri
55,LUL,Goodge Street,Charing Cross,1016,16:56,1024,17:04,8,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-07 16:00:00,,,,0.0,Sat
56,LUL,Goodge Street,Charing Cross,1019,16:59,1030,17:10,11,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-01 16:00:00,19.5,13.89,7.78,0.0,Sun
57,LUL,Goodge Street,Charing Cross,1019,16:59,1030,17:10,11,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-02 16:00:00,11.0,11.11,3.335,0.0,Mon
58,LUL,Goodge Street,Charing Cross,1019,16:59,1030,17:10,11,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-03 16:00:00,15.0,12.22,6.11,0.0,Tue
59,LUL,Goodge Street,Charing Cross,1019,16:59,1030,17:10,11,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-04 16:00:00,12.0,10.555,5.0,0.2,Wed
60,LUL,Goodge Street,Charing Cross,1019,16:59,1030,17:10,11,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-05 16:00:00,13.0,12.22,5.0,0.0,Thu
61,LUL,Goodge Street,Charing Cross,1019,16:59,1030,17:10,11,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-06 16:00:00,10.5,11.665,7.5,0.0,Fri
62,LUL,Goodge Street,Charing Cross,1019,16:59,1030,17:10,11,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-07 16:00:00,,,,0.0,Sat
63,LUL,Goodge Street,Charing Cross,964,16:04,971,16:11,7,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-01 16:00:00,19.5,13.89,7.78,0.0,Sun
64,LUL,Goodge Street,Charing Cross,964,16:04,971,16:11,7,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-02 16:00:00,11.0,11.11,3.335,0.0,Mon
65,LUL,Goodge Street,Charing Cross,964,16:04,971,16:11,7,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-03 16:00:00,15.0,12.22,6.11,0.0,Tue
66,LUL,Goodge Street,Charing Cross,964,16:04,971,16:11,7,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-04 16:00:00,12.0,10.555,5.0,0.2,Wed
67,LUL,Goodge Street,Charing Cross,964,16:04,971,16:11,7,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-05 16:00:00,13.0,12.22,5.0,0.0,Thu
68,LUL,Goodge Street,Charing Cross,964,16:04,971,16:11,7,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-06 16:00:00,10.5,11.665,7.5,0.0,Fri
69,LUL,Goodge Street,Charing Cross,964,16:04,971,16:11,7,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-07 16:00:00,,,,0.0,Sat
70,LUL,Goodge Street,Charing Cross,969,16:09,981,16:21,12,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-01 16:00:00,19.5,13.89,7.78,0.0,Sun
71,LUL,Goodge Street,Charing Cross,969,16:09,981,16:21,12,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-02 16:00:00,11.0,11.11,3.335,0.0,Mon
72,LUL,Goodge Street,Charing Cross,969,16:09,981,16:21,12,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-03 16:00:00,15.0,12.22,6.11,0.0,Tue
73,LUL,Goodge Street,Charing Cross,969,16:09,981,16:21,12,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-04 16:00:00,12.0,10.555,5.0,0.2,Wed
74,LUL,Goodge Street,Charing Cross,969,16:09,981,16:21,12,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-05 16:00:00,13.0,12.22,5.0,0.0,Thu
75,LUL,Goodge Street,Charing Cross,969,16:09,981,16:21,12,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-06 16:00:00,10.5,11.665,7.5,0.0,Fri
76,LUL,Goodge Street,Charing Cross,969,16:09,981,16:21,12,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-07 16:00:00,,,,0.0,Sat
77,LUL,Goodge Street,Charing Cross,974,16:14,984,16:24,10,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-01 16:00:00,19.5,13.89,7.78,0.0,Sun
78,LUL,Goodge Street,Charing Cross,974,16:14,984,16:24,10,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-02 16:00:00,11.0,11.11,3.335,0.0,Mon
79,LUL,Goodge Street,Charing Cross,974,16:14,984,16:24,10,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-03 16:00:00,15.0,12.22,6.11,0.0,Tue
80,LUL,Goodge Street,Charing Cross,974,16:14,984,16:24,10,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-04 16:00:00,12.0,10.555,5.0,0.2,Wed
81,LUL,Goodge Street,Charing Cross,974,16:14,984,16:24,10,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-05 16:00:00,13.0,12.22,5.0,0.0,Thu
82,LUL,Goodge Street,Charing Cross,974,16:14,984,16:24,10,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-06 16:00:00,10.5,11.665,7.5,0.0,Fri
83,LUL,Goodge Street,Charing Cross,974,16:14,984,16:24,10,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-07 16:00:00,,,,0.0,Sat
84,LUL,Goodge Street,Charing Cross,989,16:29,1000,16:40,11,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-01 16:00:00,19.5,13.89,7.78,0.0,Sun
85,LUL,Goodge Street,Charing Cross,989,16:29,1000,16:40,11,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-02 16:00:00,11.0,11.11,3.335,0.0,Mon
86,LUL,Goodge Street,Charing Cross,989,16:29,1000,16:40,11,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-03 16:00:00,15.0,12.22,6.11,0.0,Tue
87,LUL,Goodge Street,Charing Cross,989,16:29,1000,16:40,11,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-04 16:00:00,12.0,10.555,5.0,0.2,Wed
88,LUL,Goodge Street,Charing Cross,989,16:29,1000,16:40,11,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-05 16:00:00,13.0,12.22,5.0,0.0,Thu
89,LUL,Goodge Street,Charing Cross,989,16:29,1000,16:40,11,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-06 16:00:00,10.5,11.665,7.5,0.0,Fri
90,LUL,Goodge Street,Charing Cross,989,16:29,1000,16:40,11,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-07 16:00:00,,,,0.0,Sat
91,LUL,Goodge Street,Charing Cross,991,16:31,999,16:39,8,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-01 16:00:00,19.5,13.89,7.78,0.0,Sun
92,LUL,Goodge Street,Charing Cross,991,16:31,999,16:39,8,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-02 16:00:00,11.0,11.11,3.335,0.0,Mon
93,LUL,Goodge Street,Charing Cross,991,16:31,999,16:39,8,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-03 16:00:00,15.0,12.22,6.11,0.0,Tue
94,LUL,Goodge Street,Charing Cross,991,16:31,999,16:39,8,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-04 16:00:00,12.0,10.555,5.0,0.2,Wed
95,LUL,Goodge Street,Charing Cross,991,16:31,999,16:39,8,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-05 16:00:00,13.0,12.22,5.0,0.0,Thu
96,LUL,Goodge Street,Charing Cross,991,16:31,999,16:39,8,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-06 16:00:00,10.5,11.665,7.5,0.0,Fri
97,LUL,Goodge Street,Charing Cross,991,16:31,999,16:39,8,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-07 16:00:00,,,,0.0,Sat
98,LUL,Goodge Street,Charing Cross,997,16:37,1007,16:47,10,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-01 16:00:00,19.5,13.89,7.78,0.0,Sun
99,LUL,Goodge Street,Charing Cross,997,16:37,1007,16:47,10,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-02 16:00:00,11.0,11.11,3.335,0.0,Mon
100,LUL,Goodge Street,Charing Cross,997,16:37,1007,16:47,10,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-03 16:00:00,15.0,12.22,6.11,0.0,Tue
101,LUL,Goodge Street,Charing Cross,997,16:37,1007,16:47,10,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-04 16:00:00,12.0,10.555,5.0,0.2,Wed
102,LUL,Goodge Street,Charing Cross,997,16:37,1007,16:47,10,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-05 16:00:00,13.0,12.22,5.0,0.0,Thu
103,LUL,Goodge Street,Charing Cross,997,16:37,1007,16:47,10,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-06 16:00:00,10.5,11.665,7.5,0.0,Fri
104,LUL,Goodge Street,Charing Cross,997,16:37,1007,16:47,10,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-07 16:00:00,,,,0.0,Sat
105,LUL,Goodge Street,Charing Cross,997,16:37,1006,16:46,9,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-01 16:00:00,19.5,13.89,7.78,0.0,Sun
106,LUL,Goodge Street,Charing Cross,997,16:37,1006,16:46,9,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-02 16:00:00,11.0,11.11,3.335,0.0,Mon
107,LUL,Goodge Street,Charing Cross,997,16:37,1006,16:46,9,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-03 16:00:00,15.0,12.22,6.11,0.0,Tue
108,LUL,Goodge Street,Charing Cross,997,16:37,1006,16:46,9,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-04 16:00:00,12.0,10.555,5.0,0.2,Wed
109,LUL,Goodge Street,Charing Cross,997,16:37,1006,16:46,9,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-05 16:00:00,13.0,12.22,5.0,0.0,Thu
110,LUL,Goodge Street,Charing Cross,997,16:37,1006,16:46,9,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-06 16:00:00,10.5,11.665,7.5,0.0,Fri
111,LUL,Goodge Street,Charing Cross,997,16:37,1006,16:46,9,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-07 16:00:00,,,,0.0,Sat
112,LUL,Holborn,Charing Cross,1000,16:40,1014,16:54,14,51.51723573506929,-0.11984050743238,51.5083586300048,-0.124802938133095,16,2009-11-01 16:00:00,19.5,13.89,7.78,0.0,Sun
113,LUL,Holborn,Charing Cross,1000,16:40,1014,16:54,14,51.51723573506929,-0.11984050743238,51.5083586300048,-0.124802938133095,16,2009-11-02 16:00:00,11.0,11.11,3.335,0.0,Mon
114,LUL,Holborn,Charing Cross,1000,16:40,1014,16:54,14,51.51723573506929,-0.11984050743238,51.5083586300048,-0.124802938133095,16,2009-11-03 16:00:00,15.0,12.22,6.11,0.0,Tue
115,LUL,Holborn,Charing Cross,1000,16:40,1014,16:54,14,51.51723573506929,-0.11984050743238,51.5083586300048,-0.124802938133095,16,2009-11-04 16:00:00,12.0,10.555,5.0,0.2,Wed
116,LUL,Holborn,Charing Cross,1000,16:40,1014,16:54,14,51.51723573506929,-0.11984050743238,51.5083586300048,-0.124802938133095,16,2009-11-05 16:00:00,13.0,12.22,5.0,0.0,Thu
117,LUL,Holborn,Charing Cross,1000,16:40,1014,16:54,14,51.51723573506929,-0.11984050743238,51.5083586300048,-0.124802938133095,16,2009-11-06 16:00:00,10.5,11.665,7.5,0.0,Fri
118,LUL,Holborn,Charing Cross,1000,16:40,1014,16:54,14,51.51723573506929,-0.11984050743238,51.5083586300048,-0.124802938133095,16,2009-11-07 16:00:00,,,,0.0,Sat
119,LUL,Holborn,Charing Cross,1001,16:41,1017,16:57,16,51.51723573506929,-0.11984050743238,51.5083586300048,-0.124802938133095,16,2009-11-01 16:00:00,19.5,13.89,7.78,0.0,Sun
